Factor,FactorSymbol,Level,Dimension,NCompleted,MeanObjective,StdObjective,MedianObjective,IQRObjective,MeanRuntimeSeconds,CompletionRate,IsDefault,FriedmanP,WilcoxonPVsDefault,HolmPVsDefault,MedianDifferenceVsDefault
CandidateMultiplier,$\kappa_c$,2,500,10,2.03184911553997,0.447491608891725,1.92531253278255,0.533925422795368,125.55493416,1,0,0.923262834718025,0.322265625,0.966796875,0.24192406381646
CandidateMultiplier,$\kappa_c$,3,30,10,0.017956410497287,0.0222331837480671,0.00780449079485518,0.0335847154237456,16.57171815,1,0,0.516363200201633,0.232421875,0.697265625,0.00184520462448517
CandidateMultiplier,$\kappa_c$,3,500,10,1.76143881051933,0.282948295333871,1.7359936006299,0.300599713335952,153.47889285,1,0,0.923262834718025,0.76953125,1,-0.00806775762667378
CandidateMultiplier,$\kappa_c$,20,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.3383131,1,1,0.516363200201633,NaN,NaN,NaN
CandidateMultiplier,$\kappa_c$,20,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,183.03291872,1,1,0.923262834718025,NaN,NaN,NaN
EliteArchiveSize,$K_{\mathrm{elite}}$,20,30,10,0.0128934269000866,0.0130669140769128,0.00986003013049236,0.0163865495947612,20.64469717,1,0,0.975250799816111,0.625,1,0
EliteArchiveSize,$K_{\mathrm{elite}}$,20,500,10,1.81516843465925,0.55179705848789,1.72061967630124,0.633576002686941,176.19230771,1,0,0.328039292191679,0.625,1,0
EliteArchiveSize,$K_{\mathrm{elite}}$,50,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.3383131,1,1,0.975250799816111,NaN,NaN,NaN
EliteArchiveSize,$K_{\mathrm{elite}}$,50,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,183.03291872,1,1,0.328039292191679,NaN,NaN,NaN
EliteArchiveSize,$K_{\mathrm{elite}}$,100,30,10,0.0124893643306144,0.0149843198351388,0.0100431547992273,0.0119402481350881,21.35695355,1,0,0.975250799816111,1,1,0
EliteArchiveSize,$K_{\mathrm{elite}}$,100,500,10,1.83328576205677,0.545899157535602,1.81015503114658,0.633576002686941,161.64692228,1,0,0.328039292191679,1,1,0
EliteArchiveSize,$K_{\mathrm{elite}}$,200,30,10,0.0128249526072796,0.0122567819333488,0.0103988939500994,0.0171475739088471,21.4036752,1,0,0.975250799816111,0.625,1,0
EliteArchiveSize,$K_{\mathrm{elite}}$,200,500,10,1.87624524166689,0.51929151196658,1.81015503114658,0.628280828832963,178.40811085,1,0,0.328039292191679,1,1,0
