Factor,FactorSymbol,Level,R2Gate,PDIProbability,CandidateMultiplier,EliteArchiveSize,Dimension,Run,Seed,FinalFE,FinalObjective,RuntimeSeconds,Status
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,6,844735,1000,0.0234173582563415,21.2831551,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,7,844736,1000,0.00673051941084513,22.7102965,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,8,844737,1000,0.0341453987946556,21.3879242,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,9,844738,1000,0.000639711084850947,21.473697,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,10,844739,1000,0.0189982281451692,22.1777069,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,1,1314730,1000,2.38825358974579,181.6602796,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,2,1314731,1000,1.34308375547546,180.0064274,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,3,1314732,1000,3.11107414672438,180.9366074,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,4,1314733,1000,1.88030248723818,180.4758326,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,5,1314734,1000,1.40442586825237,180.9187438,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,6,1314735,1000,1.25520826361705,189.5160072,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,7,1314736,1000,1.83017361753676,183.7260779,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,8,1314737,1000,1.79013644475639,182.9967518,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,9,1314738,1000,1.39913069439839,182.5656454,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,500,10,1314739,1000,2.03270669708533,187.5268141,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,1,844730,1000,0.0127638686974662,21.1907607,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,2,844731,1000,0.00969009008445532,20.8071589,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,3,844732,1000,0.00104146791752924,20.835782,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,4,844733,1000,0.0123934662321078,20.6450372,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,5,844734,1000,0.000184963597242849,20.621029,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,6,844735,1000,0.0234173582563415,20.6948103,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,7,844736,1000,0.00673051941084513,20.5128717,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,8,844737,1000,0.0341453987946556,20.4730758,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,9,844738,1000,0.000639711084850947,23.0491516,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,30,10,844739,1000,0.0189982281451692,20.8639742,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,1,1314730,1000,2.38825358974579,180.7715366,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,2,1314731,1000,1.34308375547546,181.1999787,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,3,1314732,1000,3.11107414672438,187.3046262,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,4,1314733,1000,1.88030248723818,182.0161504,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,5,1314734,1000,1.40442586825237,179.9737883,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,6,1314735,1000,1.25520826361705,182.2894963,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,7,1314736,1000,1.83017361753676,182.8251393,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,8,1314737,1000,1.79013644475639,181.6048108,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,9,1314738,1000,1.39913069439839,182.3270959,completed
R2Gate,$\tau_{R^2}$,0.2,0.2,0.2,20,50,500,10,1314739,1000,2.03270669708533,185.1905482,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,1,844730,1000,0.0127638686974662,20.7834759,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,2,844731,1000,0.00969009008445532,20.8661857,completed
