Algorithm,Scenario,Run,Dimension,ProblemVersion,FinalFE,Status,Seconds,Message
SADEAMSS,2,4,500,obstacle-aware-v2,1000,completed,153.9912444,worker completed
SADEAMSS,2,5,500,obstacle-aware-v2,1000,completed,177.3934741,worker completed
SADEAMSS,2,6,500,obstacle-aware-v2,1000,completed,181.4909903,worker completed
SADEAMSS,2,7,500,obstacle-aware-v2,1000,completed,177.8178843,worker completed
SADEAMSS,2,8,500,obstacle-aware-v2,1000,completed,180.6479599,worker completed
SADEAMSS,2,9,500,obstacle-aware-v2,1000,completed,179.7548005,worker completed
SADEAMSS,2,10,500,obstacle-aware-v2,1000,completed,181.3188053,worker completed
SADEAMSS,2,11,500,obstacle-aware-v2,1000,completed,176.9818075,worker completed
SADEAMSS,2,12,500,obstacle-aware-v2,1000,completed,182.2644136,worker completed
SADEAMSS,2,13,500,obstacle-aware-v2,1000,completed,148.6373046,worker completed
SADEAMSS,2,14,500,obstacle-aware-v2,1000,completed,148.5694996,worker completed
SADEAMSS,2,15,500,obstacle-aware-v2,1000,completed,148.95153,worker completed
SADEAMSS,2,16,500,obstacle-aware-v2,1000,completed,148.2611312,worker completed
SADEAMSS,2,17,500,obstacle-aware-v2,1000,completed,150.6164079,worker completed
SADEAMSS,2,18,500,obstacle-aware-v2,1000,completed,150.1037511,worker completed
SADEAMSS,2,19,500,obstacle-aware-v2,1000,completed,151.1641698,worker completed
SADEAMSS,2,20,500,obstacle-aware-v2,1000,completed,150.6474645,worker completed
SAMSO,1,1,500,obstacle-aware-v2,1000,initialization-only,2.0159316,worker completed
SAMSO,1,2,500,obstacle-aware-v2,1000,initialization-only,1.9689721,worker completed
SAMSO,1,3,500,obstacle-aware-v2,1000,initialization-only,1.9481608,worker completed
SAMSO,1,4,500,obstacle-aware-v2,1000,initialization-only,2.0264249,worker completed
SAMSO,1,5,500,obstacle-aware-v2,1000,initialization-only,1.5065304,worker completed
SAMSO,1,6,500,obstacle-aware-v2,1000,initialization-only,1.8087553,worker completed
SAMSO,1,7,500,obstacle-aware-v2,1000,initialization-only,1.6015797,worker completed
SAMSO,1,8,500,obstacle-aware-v2,1000,initialization-only,1.7891666,worker completed
SAMSO,1,9,500,obstacle-aware-v2,1000,initialization-only,1.4986279,worker completed
SAMSO,1,10,500,obstacle-aware-v2,1000,initialization-only,1.7823254,worker completed
SAMSO,1,11,500,obstacle-aware-v2,1000,initialization-only,1.6354733,worker completed
SAMSO,1,12,500,obstacle-aware-v2,1000,initialization-only,1.8349071,worker completed
SAMSO,1,13,500,obstacle-aware-v2,1000,initialization-only,1.6390541,worker completed
SAMSO,1,14,500,obstacle-aware-v2,1000,initialization-only,1.6589469,worker completed
SAMSO,1,15,500,obstacle-aware-v2,1000,initialization-only,1.7264411,worker completed
SAMSO,1,16,500,obstacle-aware-v2,1000,initialization-only,1.7485775,worker completed
SAMSO,1,17,500,obstacle-aware-v2,1000,initialization-only,1.6988195,worker completed
SAMSO,1,18,500,obstacle-aware-v2,1000,initialization-only,1.6948149,worker completed
SAMSO,1,19,500,obstacle-aware-v2,1000,initialization-only,1.6283836,worker completed
SAMSO,1,20,500,obstacle-aware-v2,1000,initialization-only,1.6134674,worker completed
SAMSO,2,1,500,obstacle-aware-v2,1000,initialization-only,1.6349112,worker completed
SAMSO,2,2,500,obstacle-aware-v2,1000,initialization-only,1.6012358,worker completed
SAMSO,2,3,500,obstacle-aware-v2,1000,initialization-only,1.6243446,worker completed
SAMSO,2,4,500,obstacle-aware-v2,1000,initialization-only,1.6672208,worker completed
SAMSO,2,5,500,obstacle-aware-v2,1000,initialization-only,1.6522168,worker completed
SAMSO,2,6,500,obstacle-aware-v2,1000,initialization-only,1.6153986,worker completed
SAMSO,2,7,500,obstacle-aware-v2,1000,initialization-only,1.6631675,worker completed
SAMSO,2,8,500,obstacle-aware-v2,1000,initialization-only,1.6298963,worker completed
SAMSO,2,9,500,obstacle-aware-v2,1000,initialization-only,1.5932196,worker completed
SAMSO,2,10,500,obstacle-aware-v2,1000,initialization-only,1.6234881,worker completed
SAMSO,2,11,500,obstacle-aware-v2,1000,initialization-only,1.6979921,worker completed
SAMSO,2,12,500,obstacle-aware-v2,1000,initialization-only,1.6685222,worker completed
SAMSO,2,13,500,obstacle-aware-v2,1000,initialization-only,1.6923666,worker completed
SAMSO,2,14,500,obstacle-aware-v2,1000,initialization-only,1.684041,worker completed
SAMSO,2,15,500,obstacle-aware-v2,1000,initialization-only,1.8132353,worker completed
SAMSO,2,16,500,obstacle-aware-v2,1000,initialization-only,1.7687503,worker completed
SAMSO,2,17,500,obstacle-aware-v2,1000,initialization-only,1.6900872,worker completed
SAMSO,2,18,500,obstacle-aware-v2,1000,initialization-only,1.7278962,worker completed
SAMSO,2,19,500,obstacle-aware-v2,1000,initialization-only,1.7362431,worker completed
SAMSO,2,20,500,obstacle-aware-v2,1000,initialization-only,1.7539763,worker completed
GORS_SSLPSO,1,1,500,obstacle-aware-v2,1000,completed,520.4749523,worker completed
GORS_SSLPSO,1,2,500,obstacle-aware-v2,1000,completed,520.4832354,worker completed
GORS_SSLPSO,1,3,500,obstacle-aware-v2,1000,completed,520.7383635,worker completed
GORS_SSLPSO,1,4,500,obstacle-aware-v2,1000,completed,520.1965073,worker completed
GORS_SSLPSO,1,5,500,obstacle-aware-v2,1000,completed,513.9198029,worker completed
GORS_SSLPSO,1,6,500,obstacle-aware-v2,1000,completed,518.4202862,worker completed
GORS_SSLPSO,1,7,500,obstacle-aware-v2,1000,completed,513.4450269,worker completed
GORS_SSLPSO,1,8,500,obstacle-aware-v2,1000,completed,518.726506,worker completed
GORS_SSLPSO,1,9,500,obstacle-aware-v2,1000,completed,512.4465165,worker completed
GORS_SSLPSO,1,10,500,obstacle-aware-v2,1000,completed,519.4905742,worker completed
GORS_SSLPSO,1,11,500,obstacle-aware-v2,1000,completed,513.4879872,worker completed
GORS_SSLPSO,1,12,500,obstacle-aware-v2,1000,completed,518.7935813,worker completed
GORS_SSLPSO,1,13,500,obstacle-aware-v2,1000,completed,512.2535779,worker completed
GORS_SSLPSO,1,14,500,obstacle-aware-v2,1000,completed,510.9444659,worker completed
GORS_SSLPSO,1,15,500,obstacle-aware-v2,1000,completed,510.5825116,worker completed
GORS_SSLPSO,1,16,500,obstacle-aware-v2,1000,completed,510.600753,worker completed
GORS_SSLPSO,1,17,500,obstacle-aware-v2,1000,completed,516.7276244,worker completed
GORS_SSLPSO,1,18,500,obstacle-aware-v2,1000,completed,516.3380362,worker completed
GORS_SSLPSO,1,19,500,obstacle-aware-v2,1000,completed,517.2133395,worker completed
GORS_SSLPSO,1,20,500,obstacle-aware-v2,1000,completed,514.9459594,worker completed
GORS_SSLPSO,2,1,500,obstacle-aware-v2,1000,completed,514.3680983,worker completed
GORS_SSLPSO,2,2,500,obstacle-aware-v2,1000,completed,512.0824632,worker completed
GORS_SSLPSO,2,3,500,obstacle-aware-v2,1000,completed,514.3429343,worker completed
GORS_SSLPSO,2,4,500,obstacle-aware-v2,1000,completed,514.6159786,worker completed
GORS_SSLPSO,2,5,500,obstacle-aware-v2,1000,completed,507.6945738,worker completed
GORS_SSLPSO,2,6,500,obstacle-aware-v2,1000,completed,507.883356,worker completed
GORS_SSLPSO,2,7,500,obstacle-aware-v2,1000,completed,509.723054,worker completed
GORS_SSLPSO,2,8,500,obstacle-aware-v2,1000,completed,510.7821671,worker completed
GORS_SSLPSO,2,9,500,obstacle-aware-v2,1000,completed,509.4354361,worker completed
GORS_SSLPSO,2,10,500,obstacle-aware-v2,1000,completed,510.0250161,worker completed
GORS_SSLPSO,2,11,500,obstacle-aware-v2,1000,completed,510.2109144,worker completed
GORS_SSLPSO,2,12,500,obstacle-aware-v2,1000,completed,510.5699648,worker completed
GORS_SSLPSO,2,13,500,obstacle-aware-v2,1000,completed,518.5285189,worker completed
GORS_SSLPSO,2,14,500,obstacle-aware-v2,1000,completed,519.9689038,worker completed
GORS_SSLPSO,2,15,500,obstacle-aware-v2,1000,completed,519.9191439,worker completed
GORS_SSLPSO,2,16,500,obstacle-aware-v2,1000,completed,520.3662943,worker completed
GORS_SSLPSO,2,17,500,obstacle-aware-v2,1000,completed,515.9777998,worker completed
GORS_SSLPSO,2,18,500,obstacle-aware-v2,1000,completed,516.7215279,worker completed
GORS_SSLPSO,2,19,500,obstacle-aware-v2,1000,completed,515.7761899,worker completed
GORS_SSLPSO,2,20,500,obstacle-aware-v2,1000,completed,516.2526875,worker completed
SHPSO,1,1,500,obstacle-aware-v2,1000,completed,881.7447643,worker completed
SHPSO,1,2,500,obstacle-aware-v2,1000,completed,879.4440806,worker completed
SHPSO,1,3,500,obstacle-aware-v2,1000,completed,882.5540022,worker completed
SHPSO,1,4,500,obstacle-aware-v2,1000,completed,858.3983125,worker completed
SHPSO,1,5,500,obstacle-aware-v2,0,completed,1.3490419,worker completed
SHPSO,1,6,500,obstacle-aware-v2,1000,completed,827.0265057,worker completed
SHPSO,1,7,500,obstacle-aware-v2,1000,completed,824.9289304,worker completed
SHPSO,1,8,500,obstacle-aware-v2,1000,completed,1558.663952,worker completed
SHPSO,1,9,500,obstacle-aware-v2,1000,completed,819.4296217,worker completed
SHPSO,1,10,500,obstacle-aware-v2,1000,completed,749.3774866,worker completed
SHPSO,1,11,500,obstacle-aware-v2,1000,completed,39882.20298,worker completed
SHPSO,1,12,500,obstacle-aware-v2,1001,completed,509.2227039,worker completed
SHPSO,1,13,500,obstacle-aware-v2,1000,completed,1645.51188,worker completed
SHPSO,1,14,500,obstacle-aware-v2,1000,completed,25125.62546,worker completed
SHPSO,1,15,500,obstacle-aware-v2,1000,completed,16116.36184,worker completed
